doctor_id,doctor_name,specialization,hospital_name,city,province,address,phone,email,ham10000_classes_treated,experience_years,consultation_fee_pkr,availability,rating,total_reviews,review_summary
D001,Dr. Doctor 1,Dermatologist & Oncologist,Aga Khan University Hospital,Karachi,Sindh,"1 Main Street, Karachi",+92-311-0000001,doctor1@hospital.pk,"mel,bcc",2,1600,Mon-Fri 9AM-5PM,3.6,51,Experienced specialist in skin cancer treatment.
D002,Dr. Doctor 2,Dermatologist & Oncologist,PIMS Hospital,Islamabad,Islamabad,"2 Main Street, Islamabad",+92-322-0000002,doctor2@hospital.pk,"mel,bcc,akiec",3,1700,Mon-Fri 9AM-5PM,3.7,52,Experienced specialist in skin cancer treatment.
D003,Dr. Doctor 3,Dermatologist & Oncologist,Benazir Bhutto Hospital,Rawalpindi,Punjab,"3 Main Street, Rawalpindi",+92-333-0000003,doctor3@hospital.pk,"mel,bcc,akiec,nv",4,1800,Mon-Fri 9AM-5PM,3.8,53,Experienced specialist in skin cancer treatment.
D004,Dr. Doctor 4,Dermatologist & Oncologist,Khyber Teaching Hospital,Peshawar,KPK,"4 Main Street, Peshawar",+92-344-0000004,doctor4@hospital.pk,"mel,bcc,akiec,nv,bkl",5,1900,Mon-Fri 9AM-5PM,3.9,54,Experienced specialist in skin cancer treatment.
D005,Dr. Doctor 5,Dermatologist & Oncologist,Civil Hospital Quetta,Quetta,Balochistan,"5 Main Street, Quetta",+92-355-0000005,doctor5@hospital.pk,"mel,bcc,akiec,nv,bkl,df",6,2000,Mon-Fri 9AM-5PM,4.0,55,Experienced specialist in skin cancer treatment.
D006,Dr. Doctor 6,Dermatologist & Oncologist,Shaukat Khanum Memorial Cancer Hospital,Lahore,Punjab,"6 Main Street, Lahore",+92-366-0000006,doctor6@hospital.pk,"mel,bcc,akiec,nv,bkl,df,vasc",7,2100,Mon-Fri 9AM-5PM,4.1,56,Experienced specialist in skin cancer treatment.
D007,Dr. Doctor 7,Dermatologist & Oncologist,Aga Khan University Hospital,Karachi,Sindh,"7 Main Street, Karachi",+92-377-0000007,doctor7@hospital.pk,mel,8,2200,Mon-Fri 9AM-5PM,4.2,57,Experienced specialist in skin cancer treatment.
D008,Dr. Doctor 8,Dermatologist & Oncologist,PIMS Hospital,Islamabad,Islamabad,"8 Main Street, Islamabad",+92-388-0000008,doctor8@hospital.pk,"mel,bcc",9,2300,Mon-Fri 9AM-5PM,4.3,58,Experienced specialist in skin cancer treatment.
D009,Dr. Doctor 9,Dermatologist & Oncologist,Benazir Bhutto Hospital,Rawalpindi,Punjab,"9 Main Street, Rawalpindi",+92-399-0000009,doctor9@hospital.pk,"mel,bcc,akiec",10,2400,Mon-Fri 9AM-5PM,4.4,59,Experienced specialist in skin cancer treatment.
D010,Dr. Doctor 10,Dermatologist & Oncologist,Khyber Teaching Hospital,Peshawar,KPK,"10 Main Street, Peshawar",+92-300-0000000,doctor10@hospital.pk,"mel,bcc,akiec,nv",11,1500,Mon-Fri 9AM-5PM,4.5,60,Experienced specialist in skin cancer treatment.
D011,Dr. Doctor 11,Dermatologist & Oncologist,Civil Hospital Quetta,Quetta,Balochistan,"11 Main Street, Quetta",+92-311-0000001,doctor11@hospital.pk,"mel,bcc,akiec,nv,bkl",12,1600,Mon-Fri 9AM-5PM,4.6,61,Experienced specialist in skin cancer treatment.
D012,Dr. Doctor 12,Dermatologist & Oncologist,Shaukat Khanum Memorial Cancer Hospital,Lahore,Punjab,"12 Main Street, Lahore",+92-322-0000002,doctor12@hospital.pk,"mel,bcc,akiec,nv,bkl,df",13,1700,Mon-Fri 9AM-5PM,4.7,62,Experienced specialist in skin cancer treatment.
D013,Dr. Doctor 13,Dermatologist & Oncologist,Aga Khan University Hospital,Karachi,Sindh,"13 Main Street, Karachi",+92-333-0000003,doctor13@hospital.pk,"mel,bcc,akiec,nv,bkl,df,vasc",14,1800,Mon-Fri 9AM-5PM,4.8,63,Experienced specialist in skin cancer treatment.
D014,Dr. Doctor 14,Dermatologist & Oncologist,PIMS Hospital,Islamabad,Islamabad,"14 Main Street, Islamabad",+92-344-0000004,doctor14@hospital.pk,mel,15,1900,Mon-Fri 9AM-5PM,4.9,64,Experienced specialist in skin cancer treatment.
D015,Dr. Doctor 15,Dermatologist & Oncologist,Benazir Bhutto Hospital,Rawalpindi,Punjab,"15 Main Street, Rawalpindi",+92-355-0000005,doctor15@hospital.pk,"mel,bcc",16,2000,Mon-Fri 9AM-5PM,3.5,65,Experienced specialist in skin cancer treatment.
D016,Dr. Doctor 16,Dermatologist & Oncologist,Khyber Teaching Hospital,Peshawar,KPK,"16 Main Street, Peshawar",+92-366-0000006,doctor16@hospital.pk,"mel,bcc,akiec",17,2100,Mon-Fri 9AM-5PM,3.6,66,Experienced specialist in skin cancer treatment.
D017,Dr. Doctor 17,Dermatologist & Oncologist,Civil Hospital Quetta,Quetta,Balochistan,"17 Main Street, Quetta",+92-377-0000007,doctor17@hospital.pk,"mel,bcc,akiec,nv",18,2200,Mon-Fri 9AM-5PM,3.7,67,Experienced specialist in skin cancer treatment.
D018,Dr. Doctor 18,Dermatologist & Oncologist,Shaukat Khanum Memorial Cancer Hospital,Lahore,Punjab,"18 Main Street, Lahore",+92-388-0000008,doctor18@hospital.pk,"mel,bcc,akiec,nv,bkl",19,2300,Mon-Fri 9AM-5PM,3.8,68,Experienced specialist in skin cancer treatment.
D019,Dr. Doctor 19,Dermatologist & Oncologist,Aga Khan University Hospital,Karachi,Sindh,"19 Main Street, Karachi",+92-399-0000009,doctor19@hospital.pk,"mel,bcc,akiec,nv,bkl,df",20,2400,Mon-Fri 9AM-5PM,3.9,69,Experienced specialist in skin cancer treatment.
D020,Dr. Doctor 20,Dermatologist & Oncologist,PIMS Hospital,Islamabad,Islamabad,"20 Main Street, Islamabad",+92-300-0000000,doctor20@hospital.pk,"mel,bcc,akiec,nv,bkl,df,vasc",21,1500,Mon-Fri 9AM-5PM,4.0,70,Experienced specialist in skin cancer treatment.
D021,Dr. Doctor 21,Dermatologist & Oncologist,Benazir Bhutto Hospital,Rawalpindi,Punjab,"21 Main Street, Rawalpindi",+92-311-0000001,doctor21@hospital.pk,mel,22,1600,Mon-Fri 9AM-5PM,4.1,71,Experienced specialist in skin cancer treatment.
D022,Dr. Doctor 22,Dermatologist & Oncologist,Khyber Teaching Hospital,Peshawar,KPK,"22 Main Street, Peshawar",+92-322-0000002,doctor22@hospital.pk,"mel,bcc",23,1700,Mon-Fri 9AM-5PM,4.2,72,Experienced specialist in skin cancer treatment.
D023,Dr. Doctor 23,Dermatologist & Oncologist,Civil Hospital Quetta,Quetta,Balochistan,"23 Main Street, Quetta",+92-333-0000003,doctor23@hospital.pk,"mel,bcc,akiec",24,1800,Mon-Fri 9AM-5PM,4.3,73,Experienced specialist in skin cancer treatment.
D024,Dr. Doctor 24,Dermatologist & Oncologist,Shaukat Khanum Memorial Cancer Hospital,Lahore,Punjab,"24 Main Street, Lahore",+92-344-0000004,doctor24@hospital.pk,"mel,bcc,akiec,nv",25,1900,Mon-Fri 9AM-5PM,4.4,74,Experienced specialist in skin cancer treatment.
